"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-909733","Interferon alpha/beta signaling","9/14","76/11230",0.118421052631579,94.9906015037594,29.0463431284729,3.55806519831786e-17,3.41574259038515e-15,1.68539930446636e-15,"XAF1/IFIT3/STAT1/IFITM3/IFI35/IFI6/IFIT2/IRF7/OAS1",9
"R-HSA-913531","Interferon Signaling","11/14","286/11230",0.0384615384615385,30.8516483516484,18.066700697663,8.22076534385342e-16,3.94596736504964e-14,1.94702337091265e-14,"GBP1/XAF1/IFIT3/STAT1/IFITM3/IFI35/IFI6/IFIT2/IRF7/IFI44/OAS1",11
"R-HSA-877300","Interferon gamma signaling","4/14","96/11230",0.0416666666666667,33.422619047619,11.2712909368862,4.701233521083e-06,0.000150439472674656,7.42300029644684e-05,"GBP1/STAT1/IRF7/OAS1",4
"R-HSA-9909505","Modulation of host responses by IFN-stimulated genes","2/14","19/11230",0.105263157894737,84.4360902255639,12.8595013301503,0.00024382897240736,0.00585189533777664,0.00288744835745558,"IFI6/IFI44",2
"R-HSA-1169410","Antimicrobial mechanism of IFN-stimulated genes","3/14","165/11230",0.0181818181818182,14.5844155844156,6.21044586910491,0.00100643445078784,0.0193235414551266,0.00953464216535851,"GBP1/STAT1/OAS1",3
