"ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","EntrezID"
"ILMN_1679071",35.2119042857143,38.4722535714286,12.8595114799798,9.17220774947937e-09,0.000447631254797842,4.86296631776783,"MTX3","345778"
"ILMN_1796912",133.789585714286,220.605864285714,11.733916155745,2.75977229585867e-08,0.000673425836773953,4.52853267912525,"ARHGEF7","8874"
"ILMN_1763452",-1376.38642857143,2821.60164285714,-10.5400838917538,9.82429143258727e-08,0.000799091491307594,4.09156481945537,"EVI2B","2124"
"ILMN_1733579",-596.807742857143,877.025414285714,-10.8079578272524,7.31596789266234e-08,0.000799091491307594,4.19811755048849,"EVI2A","2123"
"ILMN_1689007",27.6517172857143,25.1717827857143,10.7309647968975,7.95800981521207e-08,0.000799091491307594,4.1680328353694,"SUGP2","10147"
"ILMN_1724533",-2807.91671428571,3307.95378571429,-10.0983536046084,1.61902967102013e-07,0.00087792783371995,3.90377483008036,"LY96","23643"
"ILMN_1728224",-148.932071428571,246.664692857143,-10.2291381873044,1.39394296311894e-07,0.00087792783371995,3.96100835420576,"OGFR","11054"
"ILMN_2169152",-6123.70128571429,11588.6522142857,-9.93625337394312,1.95326203955429e-07,0.000951130886130799,3.83084485823134,"SRGN","5552"
"ILMN_1757074",-770.416342857142,790.171957142857,-9.85661544680488,2.14381077955019e-07,0.000951130886130799,3.79418545030316,"GNG10","2790"
"ILMN_1721621",478.442128571429,796.468221428571,9.76499741580991,2.38786956361693e-07,0.000971126652609975,3.75131862279089,"NKTR","4820"
"ILMN_1755909",158.962642857143,318.32885,9.56172224588751,3.04180234499694e-07,0.00114191599879143,3.65349030127789,"GID8","54994"
"ILMN_1714700",109.749407142857,103.735125,9.22982998886249,4.55523487374386e-07,0.00135249293848399,3.48533703405395,"TRIB2","28951"
"ILMN_1710207",104.630711428572,152.780272857143,9.20255107478508,4.71126364244572e-07,0.00135249293848399,3.47103238141691,"SLF2","55719"
"ILMN_2119945",-545.085357142857,1096.69775,-8.92786510136243,6.64146087490588e-07,0.00140923136990448,3.3227076385859,"NDUFB3","4709"
"ILMN_1745852",73.2861985714286,73.8910221428571,9.06847703533476,5.56549826279844e-07,0.00140923136990448,3.39961988097398,"WDR33","55339"
