"GeneSymbol","Gene","logFC","adj.P.Val"
"GBP1","ILMN_1701114",-2.37968650725123,3.93102185688362e-15
"STAT1","ILMN_1690105",-1.48430710789163,2.22136789773092e-12
"IFI35","ILMN_1745374",-1.08727889728325,6.39953316653243e-08
"PARP9","ILMN_1731224",-1.17217211690887,8.47837785440554e-08
"IFI6","ILMN_2347798",-1.76425566338547,9.40025571601216e-08
"IFIT3","ILMN_1701789",-1.64384782685468,1.40907299965247e-07
"IFIT2","ILMN_1739428",-1.14381419756897,4.54524322779908e-07
"IRF7","ILMN_1798181",-1.03183079886699,1.20004393228006e-06
